 Source Port, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Inbound, Label
55223,53,17,2018-12-01 16:05:49.941482,20562,2,2,64.0,96.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,7781.3442272152515,194.53360568038127,6854.0,11867.146118591443,20557.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,64,40,97.26680284019064,97.26680284019064,32.0,48.0,38.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,48.0,32.0,48.0,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
80,57674,6,2018-12-01 12:41:13.257589,102,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29411.76470588236,51.0,67.88225099390856,99.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,20,40,9803.921568627453,19607.843137254906,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,1892,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
51759,80,6,2018-12-01 11:38:59.498136,2059528,4,2,2.0,0.0,1.0,0.0,0.5,0.5773502691896257,0.0,0.0,0.0,0.0,0.9710962900237337,2.913288870071201,411905.6,898301.8909279888,2018523.0,1.0,2059528.0,686509.3333333333,1189067.313152764,2059526.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,80,64,1.9421925800474675,0.9710962900237337,0.0,1.0,0.4285714285714286,0.5345224838248488,0.2857142857142857,0,0,0,0,0,1,0,0,0.0,0.5,0.5,0.0,80,0,0,0,0,0,0,4,2,2,0,257,242,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
443,59433,6,2018-12-01 16:26:05.222111,167,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17964.071856287424,83.5,113.84419177103416,164.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,20,40,5988.023952095808,11976.047904191617,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,254,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
443,59580,6,2018-12-01 11:51:38.059911,49,3,0,62.0,0.0,31.0,0.0,20.666666666666664,17.8978583448784,0.0,0.0,0.0,0.0,1265306.1224489796,61224.48979591837,24.5,33.23401871576773,48.0,1.0,49.0,24.5,33.23401871576773,48.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,61224.48979591838,0.0,0.0,31.0,23.25,15.5,240.25,0,0,1,0,0,1,0,0,0.0,31.0,20.666666666666668,0.0,60,0,0,0,0,0,0,3,62,0,0,245,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
58921,80,6,2018-12-01 15:09:18.924798,7139945,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.400571012801919,793327.222222222,1411020.1537565629,4063663.0,0.0,3.0,3.0,0.0,3.0,3.0,7085226.0,1012175.1428571428,1550142.5874596643,4063663.0,0.0,0,0,0,0,64,256,0.2801142025603839,1.1204568102415355,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,4.0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,8,0,8192,29200,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
52079,53,17,2018-11-03 14:09:29.674073,20813,2,2,86.0,150.0,43.0,43.0,43.0,0.0,75.0,75.0,75.0,0.0,11339.066929323018,192.1875750732715,6937.666666666666,12013.793086837037,20810.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,96.09378753663574,96.09378753663574,43.0,75.0,55.8,17.527121840165314,307.2,0,0,0,0,0,0,0,0,1.0,69.75,43.0,75.0,40,0,0,0,0,0,0,2,86,2,150,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
52568,443,6,2018-12-01 13:57:45.106592,1447,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,85003.45542501728,2764.3400138217003,482.33333333333337,833.6937887098195,1445.0,1.0,1447.0,482.33333333333337,833.6937887098195,1445.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,2764.3400138217003,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,80,0,0,0,0,0,0,4,123,0,0,254,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
61459,443,6,2018-12-01 16:44:10.969525,24723,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.34449702705984,12361.5,17477.558310587894,24720.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,20,40,40.44816567568661,80.89633135137322,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,2,0,16175,12,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
59213,80,6,2018-12-01 10:56:56.445380,40290246,16,14,880.0,1410.0,436.0,0.0,55.00000000000001,148.7279395406257,705.0,0.0,100.71428571428572,256.01124631890343,56.837578008334816,0.7445970918122465,1389318.8275862068,3490829.156076145,10014157.0,1.0,40257904.0,2683860.266666667,4559925.274446085,10046456.0,1.0,40250151.0,3096165.461538461,4822899.172968192,10047420.0,1.0,0,0,0,0,344,400,0.3971184489665315,0.347478642845715,0.0,705.0,73.87096774193549,200.42334227587423,40169.51612903225,0,0,0,0,1,0,0,0,0.0,76.33333333333333,55.0,100.71428571428572,344,0,0,0,0,0,0,16,880,14,1410,8192,242,10,20,100774.5,136961.00007544731,306216.0,32289.0,9963701.0,100852.00583032538,10014157.0,9812423.0,0,BENIGN
51094,53,17,2018-11-03 10:01:18.097098,20907,2,2,90.0,122.0,45.0,45.0,45.0,0.0,61.0,61.0,61.0,0.0,10140.144449227531,191.3234801741044,6969.0,12065.4659255248,20901.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,95.6617400870522,95.6617400870522,45.0,61.0,51.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,64.25,45.0,61.0,40,0,0,0,0,0,0,2,90,2,122,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
57491,80,6,2018-11-03 15:28:01.379113,40799,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,294.12485600137256,49.02080933356209,40799.0,0.0,40799.0,40799.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,24.51040466678105,24.51040466678105,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,258,238,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
55643,53,17,2018-12-01 15:22:43.115565,20724,2,2,74.0,186.0,37.0,37.0,37.0,0.0,93.0,93.0,93.0,0.0,12545.840571318278,193.01293186643505,6908.0,11961.542918871291,20720.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,96.50646593321753,96.50646593321753,37.0,93.0,59.4,30.672463220289305,940.8,0,0,0,0,0,0,0,0,1.0,74.25,37.0,93.0,64,0,0,0,0,0,0,2,74,2,186,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
55964,53,17,2018-11-03 10:08:52.498428,20975,2,2,72.0,104.0,36.0,36.0,36.0,0.0,52.0,52.0,52.0,0.0,8390.941597139452,190.7032181168057,6991.666666666666,12108.189845444833,20973.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,0,64,95.35160905840286,95.35160905840286,36.0,52.0,42.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,53.0,36.0,52.0,0,0,0,0,0,0,0,2,72,2,104,-1,-1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
443,54877,6,2018-11-03 09:22:50.125875,174,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,103448.27586206896,17241.379310344826,87.0,118.79393923933998,171.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,20,40,5747.126436781609,11494.25287356322,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,2.0,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,140,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
59573,53,17,2018-12-01 10:35:07.423806,20665,2,2,86.0,118.0,43.0,43.0,43.0,0.0,59.0,59.0,59.0,0.0,9871.763851923542,193.56399709654,6888.333333333334,11925.747160380908,20659.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,96.78199854827,96.78199854827,43.0,59.0,49.4,8.763560920082657,76.8,0,0,0,0,0,0,0,0,1.0,61.75,43.0,59.0,64,0,0,0,0,0,0,2,86,2,118,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
51309,53,17,2018-12-01 11:49:02.461143,20546,2,2,76.0,154.0,38.0,38.0,38.0,0.0,77.0,77.0,77.0,0.0,11194.393069210551,194.6850968558357,6848.666666666666,11857.908514292618,20541.0,2.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,40,40,97.34254842791783,97.34254842791783,38.0,77.0,53.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,1.0,67.0,38.0,77.0,40,0,0,0,0,0,0,2,76,2,154,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
58855,443,6,2018-12-01 10:13:50.601590,1,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,16387,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
57925,53,17,2018-12-01 13:26:13.715102,20566,2,2,64.0,120.0,32.0,32.0,32.0,0.0,60.0,60.0,60.0,0.0,8946.805406982397,194.49576971700864,6855.333333333334,11868.589483731135,20560.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,64,64,97.24788485850432,97.24788485850432,32.0,60.0,43.2,15.336231610144653,235.2,0,0,0,0,0,0,0,0,1.0,54.0,32.0,60.0,64,0,0,0,0,0,0,2,64,2,120,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
52537,443,6,2018-12-01 13:52:08.297625,93450,4,2,92.0,92.0,46.0,0.0,23.0,26.558112382722783,46.0,46.0,46.0,0.0,1968.967362225789,64.20545746388443,18690.0,25920.09129999352,52557.0,1.0,93450.0,31150.0,53949.91856342324,93446.0,1.0,2.0,2.0,0.0,2.0,2.0,1,0,0,0,80,40,42.80363830925629,21.401819154628143,0.0,46.0,32.85714285714286,22.445701677816267,503.8095238095239,0,0,1,0,0,1,0,0,0.0,38.333333333333336,23.0,46.0,80,0,0,0,0,0,0,4,92,2,92,257,278,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
55328,80,6,2018-11-03 10:11:25.902364,55107,1,1,6.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,217.75817954161903,36.29302992360317,55107.0,0.0,55107.0,55107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,18.146514961801586,18.146514961801586,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,1.0,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,256,1892,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
50410,53,17,2018-12-01 11:06:39.782072,20903,2,2,60.0,116.0,30.0,30.0,30.0,0.0,58.0,58.0,58.0,0.0,8419.844041525139,191.36009185284408,6967.666666666666,12026.805450049207,20855.0,1.0,1.0,1.0,0.0,1.0,1.0,47.0,47.0,0.0,47.0,47.0,0,0,0,0,40,0,95.68004592642204,95.68004592642204,30.0,58.0,41.2,15.336231610144653,235.2,0,0,0,0,0,0,0,0,1.0,51.5,30.0,58.0,40,0,0,0,0,0,0,2,60,2,116,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
50121,53,17,2018-11-03 11:29:52.494371,21085,2,2,70.0,174.0,35.0,35.0,35.0,0.0,87.0,87.0,87.0,0.0,11572.20773061418,189.7083234526915,7028.333333333334,12171.69837505569,21083.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0,0,0,0,40,40,94.85416172634577,94.85416172634577,35.0,87.0,55.8,28.48157299026864,811.2,0,0,0,0,0,0,0,0,1.0,69.75,35.0,87.0,40,0,0,0,0,0,0,2,70,2,174,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
443,58488,6,2018-12-01 09:35:51.838753,3,3,0,62.0,0.0,31.0,0.0,20.666666666666664,17.8978583448784,0.0,0.0,0.0,0.0,20666666.666666668,1000000.0,1.5,0.7071067811865476,2.0,1.0,3.0,1.5,0.7071067811865476,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,60,0,1000000.0,0.0,0.0,31.0,23.25,15.5,240.25,0,0,1,0,0,1,0,0,0.0,31.0,20.666666666666668,0.0,60,0,0,0,0,0,0,3,62,0,0,237,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
38634,443,6,2018-11-03 11:42:58.194817,109019,2,2,0.0,12.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,110.07255615993542,36.69085205331181,36339.66666666667,62936.95284436111,109013.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,80,40,18.345426026655904,18.345426026655904,0.0,6.0,2.4,3.286335345030997,10.8,0,0,0,0,1,0,0,0,1.0,3.0,0.0,6.0,80,0,0,0,0,0,0,2,0,2,12,29200,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
58214,443,6,2018-12-01 13:43:49.086001,335194,6,12,3044.0,1134.0,1476.0,0.0,507.33333333333337,750.6079313907272,403.0,0.0,94.49999999999996,150.67575059770505,12464.423587534384,53.70024523111989,19717.29411764706,61495.03070143626,252527.0,0.0,294310.0,58862.0,131488.648154508,294076.0,1.0,294263.0,26751.181818181816,75886.58903497798,252527.0,0.0,1,0,0,0,120,240,17.90008174370663,35.80016348741326,0.0,1476.0,297.57894736842115,538.2247894482456,289685.92397660826,0,0,1,0,0,1,0,0,2.0,314.1111111111111,507.33333333333326,94.5,120,0,0,0,0,0,0,6,3044,12,1134,257,258,3,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
443,60045,6,2018-11-03 10:15:35.712032,1,2,0,12.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,2000000.0,0.0,6.0,6.0,6.0,0.0,0.0,0,0,0,0,0,1,1,0,0.0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,246,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,BENIGN
57926,53,17,2018-12-01 10:18:34.389239,46921,2,2,76.0,154.0,38.0,38.0,38.0,0.0,77.0,77.0,77.0,0.0,4901.856311672812,85.24967498561413,15640.333333333332,27085.52185824252,46916.0,2.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,40,40,42.62483749280707,42.62483749280707,38.0,77.0,53.6,21.36117974270148,456.3,0,0,0,0,0,0,0,0,1.0,67.0,38.0,77.0,40,0,0,0,0,0,0,2,76,2,154,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
51410,443,6,2018-12-01 10:30:29.914900,1,2,0,31.0,0.0,31.0,0.0,15.5,21.92031021678297,0.0,0.0,0.0,0.0,31000000.0,2000000.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,40,0,2000000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,0,0,1,0,0,1,0,0,0.0,31.0,15.5,0.0,40,0,0,0,0,0,0,2,31,0,0,253,-1,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
56577,443,6,2018-12-01 10:01:09.327393,249,4,0,123.0,0.0,46.0,0.0,30.75,21.68524844220144,0.0,0.0,0.0,0.0,493975.9036144579,16064.257028112452,83.0,138.5640646055102,243.0,3.0,249.0,83.0,138.5640646055102,243.0,3.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80,0,16064.257028112452,0.0,0.0,46.0,33.8,19.979989989987484,399.2,0,0,1,0,0,1,0,0,0.0,42.25,30.75,0.0,80,0,0,0,0,0,0,4,123,0,0,257,-1,2,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,BENIGN
